SaleID,CustomerID,ProductID,SaleDate,Quantity,TotalAmount,PaymentMethod
53,42,36,2023-09-06,2,1582.0,credit
54,67,19,2023-09-24,5,7089.5,cash
55,95,34,2023-11-13,1,383.7,cash
56,73,5,2024-06-18,2,1023.4,credit
57,33,5,2024-07-02,3,1535.1,cash
58,2,10,2024-07-29,4,6641.2,debit
59,73,48,2024-08-07,5,3365.5,debit
60,30,36,2023-12-27,5,3955.0,cash
61,89,6,2023-10-12,3,750.0,debit
62,19,49,2024-03-20,2,1016.6,debit
63,11,19,2024-06-26,2,2835.8,cash
64,62,29,2024-07-24,1,1889.3,credit
65,74,31,2024-04-16,4,468.4,credit
66,46,50,2024-02-11,3,2223.9,cash
67,97,31,2023-09-23,3,351.3,credit
68,28,50,2024-06-30,3,2223.9,cash
69,15,27,2023-10-29,4,385.6,debit
70,61,8,2023-12-16,1,817.6,cash
71,18,40,2024-06-25,5,1189.5,cash
72,26,1,2024-08-11,5,6846.0,debit
73,30,35,2024-01-09,5,2312.0,debit
74,69,38,2024-02-19,1,1843.9,credit
75,32,45,2023-12-22,1,1376.6,debit
76,61,21,2024-06-23,4,892.0,debit
77,71,47,2024-02-24,5,2476.5,debit
78,58,36,2024-05-14,1,791.0,cash
79,83,34,2024-08-27,2,767.4,cash
80,99,42,2024-04-21,4,1985.6,cash
81,83,50,2024-08-03,1,741.3,credit
82,84,15,2023-10-21,1,1993.5,cash
83,37,5,2024-03-29,5,2558.5,cash
84,7,43,2024-08-13,4,2671.6,debit
85,38,36,2024-08-19,4,3164.0,credit
86,42,37,2024-04-25,5,12185.0,credit
87,18,19,2023-11-12,2,2835.8,debit
88,88,8,2024-07-16,3,2452.8,credit
89,83,5,2024-07-30,4,2046.8,cash
90,11,29,2023-12-26,3,5667.9,credit
91,100,2,2023-10-24,2,904.0,cash
92,72,47,2024-08-26,2,990.6,credit
93,53,42,2024-08-15,1,496.4,cash
94,35,13,2024-03-02,1,1242.4,debit
95,93,5,2023-10-09,1,511.7,debit
96,65,44,2024-02-01,4,5063.2,credit
97,33,4,2024-02-13,2,870.0,debit
98,91,41,2024-05-31,4,3199.2,debit
99,6,5,2024-03-28,1,511.7,credit
100,34,34,2024-02-16,5,1918.5,credit
101,56,13,2023-11-15,2,2484.8,credit
102,57,31,2024-05-13,4,468.4,debit
103,82,45,2024-01-23,1,1376.6,cash
104,60,23,2024-05-30,3,182.7,debit
105,17,46,2024-01-11,2,117.2,credit
106,3,23,2023-12-14,3,182.7,debit
107,92,10,2024-07-06,3,4980.9,credit
108,78,24,2024-05-10,5,337.0,debit
109,71,15,2023-12-23,5,9967.5,credit
110,33,29,2023-12-16,5,9446.5,cash
111,5,22,2024-01-08,1,1358.5,debit
112,75,8,2023-11-12,4,3270.4,credit
113,79,36,2024-01-24,5,3955.0,credit
114,74,9,2024-03-18,1,1938.4,credit
115,24,42,2024-02-03,2,992.8,cash
116,48,16,2023-10-06,1,528.2,credit
117,68,22,2024-06-23,1,1358.5,credit
118,53,16,2024-04-14,2,1056.4,credit
119,36,49,2023-11-22,1,508.3,debit
120,83,24,2023-09-07,4,269.6,cash
121,35,46,2023-09-11,5,293.0,debit
122,15,17,2024-05-11,5,1834.5,cash
123,47,43,2024-01-29,3,2003.7,cash
124,91,44,2023-10-11,5,6329.0,cash
125,48,16,2024-01-30,4,2112.8,debit
126,52,45,2024-07-09,5,6883.0,credit
127,47,44,2023-10-15,2,2531.6,cash
128,41,35,2024-04-06,3,1387.2,cash
129,44,38,2024-08-18,2,3687.8,cash
130,56,20,2024-01-06,3,4518.3,cash
131,19,28,2024-01-04,4,1823.2,credit
132,53,47,2024-07-11,4,1981.2,debit
133,19,15,2024-07-18,3,5980.5,cash
134,25,5,2024-06-26,5,2558.5,credit
135,11,37,2024-04-18,5,12185.0,debit
136,65,42,2023-11-20,1,496.4,debit
137,30,47,2024-03-27,5,2476.5,debit
138,22,44,2023-09-08,3,3797.4,debit
139,70,13,2024-04-27,3,3727.2,cash
140,37,7,2024-07-19,4,974.0,debit
141,13,15,2023-12-26,4,7974.0,credit
142,75,7,2024-05-04,4,974.0,credit
143,38,17,2024-01-09,3,1100.7,debit
144,60,33,2024-08-03,5,7795.5,credit
145,38,11,2023-12-27,5,9031.5,credit
146,99,10,2023-10-24,4,6641.2,debit
147,23,6,2024-02-04,5,1250.0,credit
148,25,49,2024-06-30,2,1016.6,debit
149,92,4,2023-11-07,2,870.0,credit
150,29,28,2024-01-20,2,911.6,cash
151,69,28,2023-10-16,3,1367.4,debit
152,87,2,2024-01-05,1,452.0,credit
153,36,12,2024-06-13,1,1237.7,debit
154,13,50,2024-03-05,2,1482.6,debit
155,74,11,2024-03-27,2,3612.6,debit
156,12,10,2024-07-21,2,3320.6,debit
157,67,36,2024-01-02,1,791.0,credit
158,100,7,2023-11-08,1,243.5,debit
159,30,50,2024-01-04,2,1482.6,debit
160,75,6,2024-07-29,2,500.0,credit
161,90,50,2024-04-26,4,2965.2,cash
162,96,2,2024-05-20,4,1808.0,debit
163,26,19,2024-05-09,3,4253.7,credit
164,92,2,2023-10-04,5,2260.0,debit
165,74,22,2023-11-05,1,1358.5,cash
166,100,15,2023-09-14,3,5980.5,cash
167,47,18,2024-03-07,2,912.0,credit
168,45,46,2024-08-15,4,234.4,credit
169,87,5,2023-10-15,2,1023.4,debit
170,37,3,2024-08-11,4,508.0,credit
171,13,43,2023-10-22,2,1335.8,debit
172,85,18,2023-12-28,2,912.0,cash
173,45,41,2024-07-02,2,1599.6,credit
174,69,31,2024-05-06,2,234.2,debit
175,76,44,2024-08-31,5,6329.0,credit
176,79,9,2024-08-12,5,9692.0,credit
177,91,44,2023-11-29,3,3797.4,debit
178,25,41,2023-12-03,1,799.8,credit
179,17,29,2023-09-20,1,1889.3,credit
180,84,30,2024-06-26,5,2121.5,cash
181,75,9,2023-10-26,4,7753.6,debit
182,73,19,2024-08-16,4,5671.6,credit
183,29,3,2024-04-12,5,635.0,cash
184,58,44,2023-09-10,4,5063.2,cash
185,83,45,2023-12-22,4,5506.4,credit
186,35,13,2024-05-17,5,6212.0,cash
187,90,40,2023-10-16,3,713.7,credit
188,9,22,2024-05-01,5,6792.5,credit
189,49,20,2023-12-17,4,6024.4,credit
190,88,29,2023-11-04,2,3778.6,cash
191,92,7,2024-05-07,3,730.5,debit
192,28,33,2024-01-03,5,7795.5,credit
193,9,6,2024-04-09,2,500.0,credit
194,31,44,2023-11-07,1,1265.8,cash
195,14,26,2023-10-05,5,4681.5,credit
196,97,9,2024-08-01,3,5815.2,debit
197,13,20,2024-03-14,4,6024.4,debit
198,18,1,2024-03-11,4,5476.8,debit
199,41,12,2023-09-18,5,6188.5,credit
200,87,6,2024-05-30,1,250.0,debit
201,21,45,2023-10-02,2,2753.2,debit
202,89,6,2024-02-16,3,750.0,cash
203,57,31,2024-07-30,5,585.5,debit
204,87,38,2024-05-30,5,9219.5,debit
205,55,50,2023-10-26,3,2223.9,debit
206,87,19,2023-12-31,2,2835.8,credit
207,56,16,2023-10-22,5,2641.0,cash
208,2,18,2024-04-18,4,1824.0,credit
209,53,43,2023-09-06,2,1335.8,cash
210,70,23,2024-06-03,1,60.9,debit
211,80,32,2024-02-24,4,7951.6,credit
212,99,45,2023-11-15,4,5506.4,credit
213,60,41,2023-10-29,3,2399.4,cash
214,5,45,2023-10-23,4,5506.4,credit
215,93,41,2023-12-26,4,3199.2,credit
216,99,48,2024-08-30,5,3365.5,debit
217,72,16,2024-06-07,2,1056.4,credit
218,85,11,2024-08-22,3,5418.9,cash
219,96,16,2024-07-30,1,528.2,debit
220,70,44,2023-11-10,1,1265.8,cash
221,31,10,2024-06-04,4,6641.2,debit
222,8,7,2023-11-28,5,1217.5,credit
223,14,28,2024-03-10,4,1823.2,debit
224,28,50,2024-08-10,2,1482.6,cash
225,10,1,2024-07-15,3,4107.6,cash
226,40,40,2023-12-04,1,237.9,credit
227,89,37,2024-06-29,5,12185.0,debit
228,69,12,2023-12-04,1,1237.7,credit
229,100,43,2024-06-05,4,2671.6,cash
230,96,10,2024-03-14,3,4980.9,credit
231,35,30,2023-09-24,3,1272.9,credit
232,72,6,2024-02-13,1,250.0,debit
233,5,28,2024-04-29,1,455.8,cash
234,63,8,2024-04-09,3,2452.8,credit
235,87,2,2023-09-15,2,904.0,credit
236,88,8,2024-08-02,3,2452.8,cash
237,87,31,2024-07-20,3,351.3,credit
238,31,26,2024-03-09,3,2808.9,credit
239,86,23,2024-02-23,4,243.6,debit
240,65,37,2024-08-17,3,7311.0,debit
241,93,26,2024-05-27,1,936.3,cash
242,40,41,2024-02-10,1,799.8,credit
243,56,29,2024-06-18,2,3778.6,cash
244,73,49,2023-11-03,2,1016.6,cash
245,24,31,2024-08-05,1,117.1,debit
246,73,21,2024-07-24,3,669.0,debit
247,40,49,2023-10-27,5,2541.5,debit
248,100,17,2023-10-11,3,1100.7,credit
249,43,6,2023-09-29,3,750.0,credit
250,57,48,2024-05-13,4,2692.4,debit
251,44,36,2023-12-09,4,3164.0,debit
252,45,21,2023-11-05,1,223.0,debit
253,25,47,2024-05-15,4,1981.2,cash
254,8,48,2024-05-21,5,3365.5,credit
255,17,6,2024-01-11,2,500.0,cash
256,96,42,2024-08-17,1,496.4,credit
257,18,6,2024-03-06,2,500.0,cash
258,83,5,2024-04-08,4,2046.8,debit
259,4,40,2024-01-26,1,237.9,debit
260,60,3,2023-12-25,3,381.0,debit
261,22,1,2024-03-08,4,5476.8,cash
262,78,43,2023-12-24,5,3339.5,credit
263,65,21,2024-04-11,4,892.0,credit
264,61,2,2023-09-27,2,904.0,debit
265,93,28,2024-01-23,3,1367.4,credit
266,67,27,2023-10-15,3,289.2,debit
267,41,17,2024-03-10,1,366.9,debit
268,80,44,2024-08-14,2,2531.6,debit
269,4,46,2024-05-07,4,234.4,debit
270,17,49,2024-02-21,4,2033.2,debit
271,33,32,2024-05-07,1,1987.9,cash
272,20,3,2024-01-23,5,635.0,cash
273,47,28,2023-12-01,4,1823.2,credit
274,86,27,2024-05-13,1,96.4,credit
275,4,20,2023-10-09,2,3012.2,cash
276,55,46,2023-10-28,5,293.0,debit
277,76,36,2024-01-17,4,3164.0,debit
278,100,29,2023-10-29,1,1889.3,credit
279,43,3,2023-11-13,2,254.0,cash
280,17,17,2024-04-05,4,1467.6,credit
281,25,23,2024-08-01,1,60.9,debit
282,42,19,2023-11-30,5,7089.5,debit
283,11,46,2023-10-27,5,293.0,debit
284,77,21,2023-09-13,4,892.0,credit
285,67,4,2023-11-15,2,870.0,debit
286,55,40,2023-11-01,2,475.8,cash
287,29,21,2023-11-19,2,446.0,credit
288,9,40,2024-03-28,4,951.6,cash
289,70,27,2023-11-02,1,96.4,credit
290,73,25,2024-05-22,4,1439.6,credit
291,61,27,2024-01-08,3,289.2,credit
292,51,41,2024-05-26,3,2399.4,credit
293,57,23,2024-08-06,2,121.8,debit
294,9,7,2024-02-04,3,730.5,cash
295,68,12,2024-04-25,2,2475.4,debit
296,97,6,2023-12-27,4,1000.0,debit
297,97,31,2023-11-14,1,117.1,credit
298,42,27,2024-01-10,1,96.4,cash
299,61,3,2024-08-18,5,635.0,credit
300,54,7,2024-08-15,3,730.5,credit
301,42,22,2024-07-24,4,5434.0,credit
302,93,30,2023-10-30,2,848.6,credit
303,52,22,2023-12-08,1,1358.5,credit
304,95,43,2023-10-29,5,3339.5,cash
305,58,20,2023-10-21,5,7530.5,cash
306,16,24,2024-03-13,4,269.6,debit
307,92,44,2024-08-05,4,5063.2,credit
308,79,18,2023-10-10,3,1368.0,credit
309,18,7,2023-11-05,5,1217.5,debit
310,70,20,2023-09-30,4,6024.4,credit
311,7,16,2024-06-27,1,528.2,credit
312,60,44,2024-02-02,1,1265.8,debit
313,85,9,2024-04-02,2,3876.8,debit
314,67,39,2023-12-17,2,2263.4,debit
315,3,35,2023-10-27,4,1849.6,credit
316,31,14,2024-07-23,5,2413.0,cash
317,5,13,2024-03-04,3,3727.2,debit
318,80,6,2024-02-03,4,1000.0,debit
319,40,12,2024-08-28,4,4950.8,debit
320,60,37,2023-12-11,3,7311.0,credit
321,55,46,2023-11-27,3,175.8,debit
322,89,19,2024-01-04,2,2835.8,debit
323,16,25,2023-12-14,3,1079.7,debit
324,64,10,2023-11-15,4,6641.2,credit
325,89,30,2023-12-28,4,1697.2,cash
326,26,50,2024-08-05,1,741.3,debit
327,95,6,2024-05-05,1,250.0,debit
328,48,5,2023-11-10,3,1535.1,credit
329,68,35,2024-01-29,2,924.8,credit
330,7,28,2023-10-24,5,2279.0,debit
331,58,18,2023-11-28,4,1824.0,credit
332,57,13,2023-10-13,5,6212.0,debit
333,16,25,2024-08-06,3,1079.7,credit
334,75,1,2024-06-16,2,2738.4,cash
335,22,38,2023-12-25,3,5531.7,credit
336,85,1,2024-05-24,3,4107.6,cash
337,22,10,2024-03-29,4,6641.2,debit
338,46,39,2024-08-31,3,3395.1,cash
339,31,18,2024-08-04,3,1368.0,cash
340,11,22,2023-11-24,1,1358.5,credit
341,14,36,2024-05-19,3,2373.0,cash
342,99,43,2024-08-16,3,2003.7,cash
343,13,29,2024-08-10,4,7557.2,credit
344,54,29,2023-10-08,5,9446.5,credit
345,57,39,2024-07-05,1,1131.7,credit
346,54,35,2024-03-19,3,1387.2,debit
347,8,16,2024-03-16,4,2112.8,credit
348,45,15,2023-12-31,4,7974.0,debit
349,74,11,2023-11-16,5,9031.5,cash
350,90,38,2024-08-13,4,7375.6,cash
351,26,14,2024-02-03,2,965.2,credit
352,83,17,2024-04-21,2,733.8,credit
353,98,30,2024-05-24,4,1697.2,cash
354,99,44,2024-03-27,2,2531.6,cash
355,39,16,2024-02-05,4,2112.8,credit
356,88,19,2024-01-06,3,4253.7,credit
357,18,32,2023-12-02,1,1987.9,debit
358,49,32,2024-05-19,4,7951.6,cash
359,55,7,2024-06-11,4,974.0,cash
360,61,14,2024-06-01,5,2413.0,debit
361,45,48,2024-03-26,3,2019.3,cash
362,64,11,2024-03-10,4,7225.2,cash
363,76,1,2024-06-19,3,4107.6,credit
364,89,4,2024-05-25,3,1305.0,debit
365,31,31,2024-06-24,4,468.4,credit
366,81,46,2024-01-20,4,234.4,cash
367,25,11,2024-05-06,5,9031.5,credit
368,79,41,2024-06-02,4,3199.2,debit
369,23,39,2024-05-25,4,4526.8,debit
370,7,41,2024-06-19,4,3199.2,debit
371,9,32,2024-05-09,2,3975.8,cash
372,40,41,2024-07-06,2,1599.6,cash
373,27,29,2024-08-05,3,5667.9,credit
374,66,47,2024-04-20,3,1485.9,debit
375,74,41,2024-06-13,2,1599.6,cash
376,69,14,2024-06-14,5,2413.0,cash
377,5,42,2024-03-12,4,1985.6,cash
378,18,43,2023-11-19,2,1335.8,credit
379,92,11,2023-10-06,5,9031.5,debit
380,9,21,2024-03-05,3,669.0,cash
381,79,13,2024-01-27,1,1242.4,cash
382,42,21,2023-10-11,4,892.0,credit
383,48,23,2024-06-14,4,243.6,cash
384,55,25,2024-02-16,5,1799.5,debit
385,28,48,2024-08-31,4,2692.4,debit
386,97,2,2024-08-03,4,1808.0,debit
387,79,43,2024-03-08,2,1335.8,credit
388,27,21,2023-09-12,5,1115.0,cash
389,23,46,2024-04-11,3,175.8,cash
390,76,3,2023-09-08,2,254.0,credit
391,89,34,2024-03-01,1,383.7,cash
392,40,20,2023-12-24,2,3012.2,debit
393,27,34,2023-11-08,4,1534.8,debit
394,73,32,2024-01-28,4,7951.6,debit
395,37,8,2024-06-25,4,3270.4,credit
396,52,9,2023-12-19,1,1938.4,debit
397,59,50,2024-01-28,4,2965.2,debit
398,38,6,2023-10-12,2,500.0,debit
399,86,23,2024-01-26,3,182.7,cash
400,92,13,2024-05-02,5,6212.0,cash
401,2,44,2024-05-18,3,3797.4,credit
402,87,43,2023-12-16,3,2003.7,debit
403,91,28,2024-08-14,4,1823.2,credit
404,80,40,2023-11-03,3,713.7,debit
405,97,8,2024-04-29,2,1635.2,cash
406,48,26,2024-02-05,3,2808.9,cash
407,88,42,2024-05-31,2,992.8,cash
408,55,32,2024-02-11,3,5963.7,cash
409,88,47,2024-03-18,2,990.6,debit
410,64,23,2023-09-14,3,182.7,debit
411,8,48,2024-02-17,5,3365.5,cash
412,12,22,2024-06-10,2,2717.0,debit
413,63,23,2024-01-26,4,243.6,cash
414,61,5,2024-05-08,4,2046.8,credit
415,17,40,2024-08-06,3,713.7,credit
416,67,24,2024-02-12,5,337.0,cash
417,76,1,2024-05-01,3,4107.6,cash
418,68,20,2023-11-05,4,6024.4,debit
419,32,27,2024-05-27,3,289.2,credit
420,8,44,2024-06-14,2,2531.6,debit
421,52,26,2024-01-11,5,4681.5,debit
422,51,12,2024-07-09,3,3713.1,cash
423,84,1,2023-10-01,1,1369.2,cash
424,67,3,2023-12-06,3,381.0,debit
425,97,19,2023-09-11,4,5671.6,credit
426,49,33,2024-01-26,3,4677.3,cash
427,17,37,2024-07-19,1,2437.0,credit
428,38,14,2024-02-15,4,1930.4,credit
429,46,4,2023-09-11,3,1305.0,credit
430,67,36,2023-12-09,1,791.0,credit
431,83,50,2024-04-23,1,741.3,debit
432,88,42,2023-11-26,5,2482.0,credit
433,89,11,2024-03-21,5,9031.5,cash
434,9,39,2024-06-13,4,4526.8,cash
435,22,36,2024-03-23,3,2373.0,cash
436,23,42,2024-01-19,3,1489.2,credit
437,13,16,2024-06-01,5,2641.0,cash
438,67,30,2024-03-25,3,1272.9,debit
439,9,18,2024-07-24,1,456.0,debit
440,25,16,2023-10-09,3,1584.6,credit
441,36,11,2023-11-18,4,7225.2,cash
442,1,34,2024-07-08,1,383.7,cash
443,68,4,2024-01-04,5,2175.0,cash
444,1,28,2024-03-08,4,1823.2,credit
445,87,1,2024-05-20,4,5476.8,debit
446,22,50,2023-09-19,4,2965.2,debit
447,85,39,2023-11-26,5,5658.5,credit
448,96,31,2023-11-24,2,234.2,cash
449,10,37,2024-06-14,5,12185.0,debit
450,54,22,2024-04-24,5,6792.5,credit
451,97,8,2023-11-20,1,817.6,cash
452,50,36,2024-06-22,4,3164.0,cash
453,91,29,2024-01-08,2,3778.6,cash
454,91,24,2024-02-16,1,67.4,credit
455,30,45,2024-01-30,1,1376.6,cash
456,37,20,2023-11-14,3,4518.3,debit
457,35,21,2024-02-15,4,892.0,credit
458,37,46,2024-04-09,4,234.4,debit
459,78,25,2024-04-14,4,1439.6,debit
460,5,23,2024-07-11,5,304.5,debit
461,63,44,2024-06-27,5,6329.0,debit
462,98,16,2023-10-05,4,2112.8,debit
463,70,50,2024-08-29,5,3706.5,credit
464,35,31,2024-08-18,3,351.3,debit
465,14,41,2023-09-27,5,3999.0,credit
466,5,6,2023-10-11,4,1000.0,credit
467,53,31,2024-03-25,1,117.1,debit
468,61,42,2024-01-04,3,1489.2,cash
469,87,20,2024-06-16,3,4518.3,cash
470,10,2,2024-04-27,1,452.0,debit
471,1,29,2024-07-27,2,3778.6,debit
472,72,29,2023-10-23,5,9446.5,credit
473,31,9,2024-02-08,1,1938.4,debit
474,89,34,2023-12-31,5,1918.5,credit
475,63,50,2023-10-23,4,2965.2,cash
476,37,22,2023-09-01,2,2717.0,cash
477,39,13,2024-05-27,3,3727.2,debit
478,37,6,2023-12-15,1,250.0,credit
479,45,19,2024-01-02,1,1417.9,debit
480,48,4,2023-09-23,1,435.0,debit
481,52,30,2023-10-21,2,848.6,debit
482,25,27,2024-06-01,1,96.4,debit
483,67,30,2023-11-02,5,2121.5,debit
484,95,30,2024-03-11,1,424.3,debit
485,71,2,2023-09-05,3,1356.0,credit
486,19,24,2024-07-27,4,269.6,credit
487,36,45,2024-05-19,1,1376.6,debit
488,16,21,2024-06-02,3,669.0,credit
489,62,24,2024-01-19,4,269.6,debit
490,96,22,2023-11-25,1,1358.5,debit
491,2,21,2024-07-12,2,446.0,cash
492,85,36,2024-07-15,4,3164.0,debit
493,38,34,2023-11-14,1,383.7,cash
494,100,11,2024-07-02,3,5418.9,credit
495,44,44,2023-11-24,5,6329.0,debit
496,68,14,2024-01-09,5,2413.0,credit
497,57,9,2024-05-26,5,9692.0,credit
498,2,31,2024-05-13,2,234.2,cash
499,74,16,2023-12-20,1,528.2,cash
500,45,41,2024-02-06,5,3999.0,credit
501,69,1,2024-08-24,1,1369.2,cash
502,78,13,2023-09-06,5,6212.0,debit
503,23,2,2024-01-15,2,904.0,credit
504,94,36,2024-04-16,4,3164.0,cash
505,24,37,2023-12-18,1,2437.0,cash
506,82,4,2023-09-09,4,1740.0,cash
507,61,30,2024-06-03,5,2121.5,debit
508,12,23,2024-06-02,5,304.5,cash
509,56,13,2024-01-12,5,6212.0,credit
510,15,43,2024-08-09,4,2671.6,credit
511,66,13,2023-09-25,1,1242.4,debit
512,15,45,2023-12-25,3,4129.8,credit
513,56,3,2024-03-30,2,254.0,debit
514,56,24,2023-10-24,5,337.0,debit
515,43,38,2023-10-13,2,3687.8,credit
516,41,26,2024-06-29,2,1872.6,debit
517,4,42,2024-08-17,5,2482.0,cash
518,93,31,2024-05-12,3,351.3,debit
519,40,36,2024-02-04,2,1582.0,debit
520,22,18,2024-03-21,4,1824.0,credit
521,71,49,2023-10-05,2,1016.6,cash
522,24,48,2024-05-19,1,673.1,cash
523,58,22,2024-07-04,2,2717.0,credit
524,30,4,2024-01-20,4,1740.0,debit
525,87,13,2024-08-20,3,3727.2,cash
526,67,36,2023-09-14,1,791.0,credit
527,85,36,2024-06-28,4,3164.0,debit
528,5,5,2024-05-03,2,1023.4,credit
529,39,18,2023-11-05,4,1824.0,cash
530,44,37,2024-01-14,5,12185.0,debit
531,47,29,2023-09-06,2,3778.6,cash
532,41,3,2024-06-11,3,381.0,cash
533,15,39,2023-12-01,1,1131.7,credit
534,81,47,2023-12-14,1,495.3,credit
535,34,1,2024-03-14,4,5476.8,credit
536,64,40,2023-12-16,4,951.6,debit
537,30,37,2024-03-23,5,12185.0,credit
538,61,45,2023-10-30,2,2753.2,debit
539,57,27,2024-03-16,1,96.4,debit
540,98,25,2023-10-07,4,1439.6,credit
541,82,11,2024-01-01,2,3612.6,credit
542,10,37,2023-09-25,5,12185.0,credit
543,33,47,2024-01-14,2,990.6,debit
544,45,6,2024-01-14,2,500.0,cash
545,100,8,2024-01-29,3,2452.8,credit
546,44,1,2024-02-01,2,2738.4,cash
547,30,16,2024-07-02,3,1584.6,cash
548,59,35,2024-01-02,4,1849.6,cash
549,13,18,2023-09-16,3,1368.0,cash
550,43,4,2024-05-29,3,1305.0,debit
551,86,19,2023-09-03,3,4253.7,debit
552,87,35,2023-12-08,5,2312.0,credit
553,50,22,2023-09-10,2,2717.0,credit
554,76,19,2024-03-04,2,2835.8,credit
555,22,14,2024-06-25,5,2413.0,credit
556,62,8,2023-12-11,4,3270.4,debit
557,13,24,2024-06-19,4,269.6,debit
558,59,30,2024-06-12,1,424.3,debit
559,30,22,2024-02-05,3,4075.5,cash
560,16,37,2024-06-05,5,12185.0,credit
561,35,8,2023-10-15,4,3270.4,debit
562,80,32,2023-10-27,1,1987.9,credit
563,57,36,2023-10-05,2,1582.0,debit
564,18,1,2023-09-03,2,2738.4,debit
565,91,23,2024-03-18,1,60.9,cash
566,100,18,2023-09-11,2,912.0,cash
567,70,7,2023-12-14,2,487.0,cash
568,98,26,2024-02-14,4,3745.2,cash
569,62,43,2024-08-21,2,1335.8,cash
570,15,14,2024-02-04,5,2413.0,cash
571,29,33,2024-01-20,1,1559.1,debit
572,59,44,2024-03-13,5,6329.0,cash
573,32,38,2023-09-20,1,1843.9,debit
574,96,37,2023-09-13,2,4874.0,credit
575,91,37,2024-05-01,1,2437.0,debit
576,9,35,2024-08-11,2,924.8,cash
577,78,8,2024-08-12,4,3270.4,cash
578,98,21,2024-08-23,4,892.0,cash
579,10,16,2023-10-26,4,2112.8,debit
580,84,29,2024-02-24,2,3778.6,debit
581,66,29,2024-05-14,3,5667.9,debit
582,3,1,2024-01-05,2,2738.4,cash
583,46,26,2024-06-06,1,936.3,credit
584,19,13,2024-05-03,5,6212.0,debit
585,23,13,2024-07-21,5,6212.0,cash
586,65,12,2024-06-12,4,4950.8,cash
587,73,7,2024-08-29,3,730.5,debit
588,44,49,2024-05-22,4,2033.2,credit
589,60,48,2024-06-30,4,2692.4,debit
590,4,5,2024-02-26,2,1023.4,debit
591,96,14,2024-04-18,1,482.6,debit
592,91,37,2024-01-31,2,4874.0,credit
593,11,28,2024-04-02,5,2279.0,credit
594,83,3,2024-06-27,2,254.0,cash
595,59,12,2024-04-07,4,4950.8,debit
596,25,32,2023-12-23,5,9939.5,cash
597,67,24,2024-01-26,3,202.2,debit
598,61,16,2023-11-06,2,1056.4,cash
599,39,27,2023-10-10,3,289.2,debit
600,16,48,2024-01-22,5,3365.5,cash
601,51,8,2024-07-09,4,3270.4,debit
602,65,3,2024-07-03,5,635.0,credit
603,51,7,2024-05-07,4,974.0,credit
604,81,6,2024-08-26,4,1000.0,debit
605,30,7,2024-08-18,5,1217.5,credit
606,21,8,2023-09-12,2,1635.2,cash
607,71,45,2023-12-16,2,2753.2,credit
608,50,38,2023-12-14,4,7375.6,debit
609,58,29,2024-05-21,4,7557.2,cash
610,98,18,2024-06-29,2,912.0,cash
611,63,5,2023-11-10,1,511.7,debit
612,45,40,2024-03-31,5,1189.5,cash
613,66,40,2024-05-01,4,951.6,debit
